cohort_month,0,1,2,3,4,5,6
2025-01,100.0,33.164556962025316,40.50632911392405,26.962025316455694,17.468354430379744,13.291139240506327,3.9240506329113924
2025-02,100.0,44.03534609720177,37.84977908689249,27.245949926362297,17.673048600883654,12.51840942562592,5.743740795287187
2025-03,100.0,39.726027397260275,38.9041095890411,24.246575342465754,22.876712328767123,12.876712328767123,4.383561643835616
2025-04,100.0,37.420986093552465,35.01896333754741,27.054361567635905,20.101137800252843,11.25158027812895,5.689001264222504
2025-05,100.0,39.40949935815148,39.02439024390244,26.82926829268293,17.458279845956355,12.45186136071887,4.492939666238768
2025-06,100.0,43.741765480895914,38.866930171278,22.134387351778656,20.816864295125164,12.779973649538867,4.216073781291173
2025-07,100.0,41.66666666666667,35.28645833333333,27.213541666666668,16.796875,12.369791666666668,5.338541666666666
2025-08,100.0,36.32911392405063,35.69620253164557,25.949367088607595,18.860759493670887,11.645569620253164,3.79746835443038
2025-09,100.0,42.066957787481805,38.28238719068413,27.947598253275107,20.378457059679768,11.208151382823871,6.986899563318777
2025-10,100.0,40.0262467191601,35.30183727034121,23.88451443569554,18.89763779527559,15.748031496062993,5.2493438320209975
2025-11,100.0,42.64900662251655,33.24503311258278,23.443708609271525,21.324503311258276,13.112582781456952,6.0927152317880795
2025-12,100.0,40.15748031496063,35.826771653543304,29.527559055118108,18.503937007874015,12.204724409448819,5.6430446194225725
