order_id,user_id,order_date,revenue
1,3,2025-10-04 12:00:00,2201.39
2,10,2025-08-09 16:00:00,3506.06
3,13,2025-04-14 04:00:00,4607.03
4,22,2025-07-19 03:00:00,509.59
5,27,2025-09-11 10:00:00,4115.49
6,33,2025-07-10 20:00:00,3676.58
7,52,2025-09-02 15:00:00,4306.73
8,69,2025-07-15 18:00:00,4728.08
9,76,2025-11-08 09:00:00,550.57
10,78,2025-08-08 16:00:00,4446.99
11,101,2025-05-25 06:00:00,1354.54
12,105,2025-06-15 00:00:00,2817.98
13,123,2025-08-03 11:00:00,1854.45
14,126,2025-04-16 15:00:00,1742.63
15,144,2025-04-08 21:00:00,2714.53
16,156,2025-09-08 02:00:00,4305.65
17,163,2025-05-21 18:00:00,2086.78
18,164,2025-10-17 09:00:00,3473.89
19,169,2025-10-18 11:00:00,3948.81
20,178,2025-04-27 11:00:00,4620.67
21,187,2025-11-05 06:00:00,2941.18
22,200,2025-10-28 07:00:00,380.21
23,207,2025-01-06 16:00:00,1167.62
24,212,2025-08-13 04:00:00,1655.47
25,215,2025-05-15 14:00:00,4462.2
26,218,2025-08-13 12:00:00,4519.66
27,228,2025-10-12 09:00:00,4801.6
28,236,2025-05-10 10:00:00,2757.47
29,237,2025-07-08 13:00:00,3631.68
30,255,2025-06-01 06:00:00,2322.98
31,257,2025-04-10 12:00:00,241.42
32,260,2025-05-30 08:00:00,3939.71
33,266,2025-09-17 21:00:00,4919.28
34,283,2025-04-26 09:00:00,3209.85
35,294,2025-11-07 14:00:00,1216.85
36,300,2025-10-21 14:00:00,3745.14
37,306,2025-02-07 18:00:00,1455.07
38,323,2025-11-20 15:00:00,3498.74
39,328,2025-07-16 14:00:00,2896.28
40,334,2025-02-20 05:00:00,3300.59
41,353,2025-01-21 20:00:00,2148.62
42,368,2025-10-03 20:00:00,2339.25
43,372,2025-07-01 00:00:00,4299.44
44,376,2025-02-02 17:00:00,273.83
45,391,2025-11-25 16:00:00,987.11
46,404,2025-12-14 08:00:00,2404.41
47,418,2025-07-17 13:00:00,4902.84
48,422,2025-02-20 00:00:00,710.16
49,433,2025-05-05 09:00:00,831.47
50,437,2025-03-02 13:00:00,510.73
51,447,2025-01-06 06:00:00,4605.34
52,467,2025-07-11 07:00:00,2817.06
53,485,2025-01-14 04:00:00,509.04
54,491,2025-08-13 23:00:00,2703.59
55,492,2025-09-09 21:00:00,677.47
56,493,2025-06-01 16:00:00,1657.0
57,495,2025-09-16 10:00:00,2402.53
58,497,2025-01-09 18:00:00,838.45
59,502,2025-09-20 00:00:00,2975.97
60,507,2025-06-19 01:00:00,4040.65
61,508,2025-02-03 16:00:00,2160.97
62,514,2025-06-25 13:00:00,3287.69
63,529,2025-04-05 05:00:00,2993.61
64,533,2025-07-18 07:00:00,2336.03
65,536,2025-03-21 01:00:00,620.86
66,546,2025-02-06 16:00:00,4702.76
67,570,2025-08-23 16:00:00,920.5
68,628,2025-03-17 00:00:00,2197.47
69,634,2025-04-05 19:00:00,387.41
70,645,2025-03-05 19:00:00,2506.63
71,646,2025-06-03 19:00:00,2871.88
72,647,2025-11-21 12:00:00,1719.5
73,657,2025-02-16 12:00:00,2290.65
74,670,2025-08-16 17:00:00,1950.09
75,679,2025-02-28 18:00:00,3971.01
76,683,2025-11-29 13:00:00,2336.08
77,686,2025-12-27 11:00:00,4420.02
78,688,2025-01-11 23:00:00,3722.33
79,694,2025-07-08 13:00:00,4817.28
80,696,2025-07-01 07:00:00,2190.33
81,700,2025-02-11 21:00:00,1871.76
82,715,2025-01-15 11:00:00,2915.88
83,722,2025-05-06 07:00:00,3019.86
84,723,2025-10-21 05:00:00,1338.25
85,729,2025-09-29 14:00:00,1604.64
86,730,2025-12-09 20:00:00,4340.68
87,747,2025-09-24 06:00:00,1312.51
88,749,2025-02-24 08:00:00,4572.94
89,750,2025-06-19 01:00:00,4813.05
90,752,2025-03-27 21:00:00,3520.33
91,759,2025-07-28 14:00:00,3956.19
92,763,2025-12-20 03:00:00,3936.75
93,774,2025-02-25 20:00:00,4287.15
94,780,2025-09-15 03:00:00,3166.56
95,781,2025-11-05 03:00:00,4803.08
96,785,2025-03-14 10:00:00,2412.71
97,788,2025-07-16 07:00:00,1815.67
98,794,2025-12-11 18:00:00,1879.46
99,797,2025-12-19 07:00:00,2503.97
100,799,2025-09-10 19:00:00,4730.81
101,805,2025-02-28 13:00:00,1633.58
102,817,2025-02-27 12:00:00,3861.01
103,824,2025-09-13 08:00:00,2102.57
104,826,2025-07-07 04:00:00,2616.75
105,827,2025-12-05 10:00:00,882.99
106,830,2025-12-30 04:00:00,4691.79
107,854,2025-02-22 12:00:00,4945.06
108,858,2025-10-29 20:00:00,1133.53
109,863,2025-05-07 09:00:00,259.96
110,869,2025-11-23 13:00:00,3179.23
111,877,2025-05-01 00:00:00,4450.94
112,881,2025-07-28 07:00:00,2691.42
113,882,2025-11-01 07:00:00,3859.41
114,888,2025-03-24 09:00:00,647.88
115,902,2025-10-29 16:00:00,3421.1
116,912,2025-03-28 09:00:00,749.82
117,921,2025-03-14 09:00:00,1642.49
118,925,2025-04-25 03:00:00,2984.93
119,929,2025-04-24 01:00:00,930.33
120,934,2025-04-15 09:00:00,4387.03
121,939,2025-08-23 02:00:00,4745.49
122,942,2025-08-23 12:00:00,1896.0
123,943,2025-10-18 18:00:00,2952.32
124,947,2025-03-12 18:00:00,2802.43
125,949,2025-01-08 07:00:00,1610.53
126,952,2025-11-22 18:00:00,3498.89
127,965,2025-01-08 08:00:00,1447.33
128,974,2025-03-09 05:00:00,4521.1
129,975,2025-07-19 19:00:00,3045.96
130,979,2025-06-27 13:00:00,2895.99
131,992,2025-01-10 09:00:00,3805.5
132,1001,2025-09-21 17:00:00,1373.38
133,1010,2025-05-15 08:00:00,3888.71
