event_id,user_id,event_name,event_time
1,1,app_open,2025-04-17 00:00:00
2,1,search,2025-04-18 11:00:00
3,1,add_to_cart,2025-04-19 06:00:00
4,2,app_open,2025-12-21 00:00:00
5,2,app_open,2026-04-08 00:00:00
6,2,app_open,2026-04-21 00:00:00
7,3,app_open,2025-10-03 00:00:00
8,3,search,2025-10-03 17:00:00
9,3,add_to_cart,2025-10-03 22:00:00
10,3,purchase,2025-10-04 12:00:00
11,3,app_open,2025-11-29 00:00:00
12,3,app_open,2026-01-07 00:00:00
13,3,app_open,2026-03-20 00:00:00
14,4,app_open,2025-04-23 00:00:00
15,4,search,2025-04-24 06:00:00
16,5,app_open,2025-03-18 00:00:00
17,6,app_open,2025-07-08 00:00:00
18,6,search,2025-07-08 16:00:00
19,6,app_open,2025-08-16 00:00:00
20,7,app_open,2025-01-23 00:00:00
21,7,app_open,2025-03-20 00:00:00
22,8,app_open,2025-04-19 00:00:00
23,8,search,2025-04-20 05:00:00
24,9,app_open,2025-05-06 00:00:00
25,9,search,2025-05-06 19:00:00
26,9,add_to_cart,2025-05-07 05:00:00
27,9,app_open,2025-06-03 00:00:00
28,10,app_open,2025-08-07 00:00:00
29,10,search,2025-08-08 15:00:00
30,10,add_to_cart,2025-08-09 10:00:00
31,10,purchase,2025-08-09 16:00:00
32,10,app_open,2025-09-22 00:00:00
33,11,app_open,2025-11-27 00:00:00
34,11,app_open,2026-03-09 00:00:00
35,12,app_open,2025-04-02 00:00:00
36,12,search,2025-04-02 09:00:00
37,12,add_to_cart,2025-04-02 17:00:00
38,12,app_open,2025-05-22 00:00:00
39,12,app_open,2025-05-29 00:00:00
40,13,app_open,2025-04-12 00:00:00
41,13,search,2025-04-13 12:00:00
42,13,add_to_cart,2025-04-14 02:00:00
43,13,purchase,2025-04-14 04:00:00
44,14,app_open,2025-12-30 00:00:00
45,14,app_open,2026-02-13 00:00:00
46,14,app_open,2026-05-18 00:00:00
47,15,app_open,2025-06-04 00:00:00
48,15,app_open,2025-07-20 00:00:00
49,15,app_open,2025-08-14 00:00:00
50,15,app_open,2025-10-02 00:00:00
51,16,app_open,2025-05-15 00:00:00
52,16,app_open,2025-06-27 00:00:00
53,16,app_open,2025-07-25 00:00:00
54,17,app_open,2025-06-02 00:00:00
55,17,app_open,2025-07-04 00:00:00
56,17,app_open,2025-09-08 00:00:00
57,18,app_open,2025-11-11 00:00:00
58,18,search,2025-11-11 06:00:00
59,19,app_open,2025-09-15 00:00:00
60,19,search,2025-09-16 06:00:00
61,19,app_open,2025-11-03 00:00:00
62,20,app_open,2025-12-10 00:00:00
63,20,search,2025-12-11 12:00:00
64,20,add_to_cart,2025-12-12 10:00:00
65,21,app_open,2025-10-26 00:00:00
66,21,search,2025-10-27 12:00:00
67,21,app_open,2025-12-06 00:00:00
68,21,app_open,2026-01-10 00:00:00
69,22,app_open,2025-07-17 00:00:00
70,22,search,2025-07-17 12:00:00
71,22,add_to_cart,2025-07-18 07:00:00
72,22,purchase,2025-07-19 03:00:00
73,22,app_open,2025-08-19 00:00:00
74,23,app_open,2025-10-09 00:00:00
75,23,app_open,2025-12-20 00:00:00
76,23,app_open,2026-02-09 00:00:00
77,24,app_open,2025-06-12 00:00:00
78,24,search,2025-06-12 19:00:00
79,24,add_to_cart,2025-06-13 16:00:00
80,24,app_open,2025-07-24 00:00:00
81,25,app_open,2025-11-12 00:00:00
82,25,app_open,2026-01-10 00:00:00
83,26,app_open,2025-01-28 00:00:00
84,26,search,2025-01-29 01:00:00
85,26,add_to_cart,2025-01-29 08:00:00
