session_id,user_id,session_date,device_type
1,1,2025-07-10 06:00:00,Mobile
2,1,2025-04-16 18:00:00,Mobile
3,1,2025-08-01 06:00:00,Desktop
4,1,2025-05-19 20:00:00,Mobile
5,1,2025-07-14 12:00:00,Desktop
6,2,2026-04-20 11:00:00,Desktop
7,2,2026-02-02 03:00:00,Mobile
8,2,2026-05-22 22:00:00,Mobile
9,2,2026-05-05 00:00:00,Mobile
10,2,2026-04-11 08:00:00,Tablet
11,2,2026-03-03 09:00:00,Desktop
12,3,2026-03-14 05:00:00,Mobile
13,3,2026-01-29 12:00:00,Mobile
14,3,2025-12-02 02:00:00,Mobile
15,3,2025-12-13 09:00:00,Mobile
16,4,2025-07-19 10:00:00,Desktop
17,4,2025-06-01 19:00:00,Desktop
18,4,2025-06-13 02:00:00,Mobile
19,4,2025-07-23 08:00:00,Mobile
20,4,2025-10-02 00:00:00,Desktop
21,4,2025-05-14 05:00:00,Mobile
22,4,2025-07-12 17:00:00,Mobile
23,4,2025-05-11 04:00:00,Mobile
24,5,2025-07-25 13:00:00,Desktop
25,5,2025-05-10 07:00:00,Desktop
26,5,2025-06-11 03:00:00,Desktop
27,5,2025-08-05 22:00:00,Desktop
28,5,2025-09-08 19:00:00,Tablet
29,5,2025-09-01 11:00:00,Tablet
30,6,2025-10-06 08:00:00,Mobile
31,6,2025-09-26 00:00:00,Mobile
32,6,2025-07-13 06:00:00,Mobile
33,6,2025-08-08 03:00:00,Mobile
34,6,2025-11-24 08:00:00,Desktop
35,6,2025-11-21 16:00:00,Desktop
36,7,2025-05-29 00:00:00,Mobile
37,7,2025-04-17 05:00:00,Mobile
38,7,2025-03-13 18:00:00,Mobile
39,7,2025-05-06 22:00:00,Mobile
40,7,2025-02-27 19:00:00,Mobile
41,7,2025-04-23 08:00:00,Mobile
42,7,2025-03-27 12:00:00,Desktop
43,7,2025-05-05 19:00:00,Mobile
44,7,2025-02-05 14:00:00,Mobile
45,7,2025-05-02 19:00:00,Desktop
46,8,2025-08-25 22:00:00,Mobile
47,8,2025-08-23 10:00:00,Mobile
48,9,2025-08-09 18:00:00,Mobile
49,10,2025-10-15 06:00:00,Mobile
50,10,2025-08-15 17:00:00,Desktop
51,10,2025-12-04 09:00:00,Mobile
52,10,2025-08-15 21:00:00,Desktop
53,10,2025-12-21 23:00:00,Mobile
54,10,2025-12-26 04:00:00,Desktop
55,10,2025-12-05 04:00:00,Mobile
56,11,2026-03-05 11:00:00,Mobile
57,11,2026-01-11 07:00:00,Mobile
58,11,2026-04-27 08:00:00,Mobile
59,11,2026-04-12 06:00:00,Mobile
60,11,2025-12-18 16:00:00,Mobile
61,11,2026-05-20 23:00:00,Mobile
62,11,2025-12-29 14:00:00,Desktop
63,11,2026-03-18 17:00:00,Mobile
64,11,2025-12-04 05:00:00,Mobile
65,12,2025-03-30 18:00:00,Desktop
66,12,2025-07-24 20:00:00,Mobile
67,12,2025-07-02 05:00:00,Desktop
68,12,2025-08-25 20:00:00,Mobile
69,13,2025-09-06 11:00:00,Mobile
70,13,2025-08-19 18:00:00,Mobile
71,13,2025-08-15 11:00:00,Desktop
72,13,2025-09-05 03:00:00,Desktop
73,13,2025-07-24 12:00:00,Desktop
74,13,2025-06-22 09:00:00,Mobile
75,13,2025-10-01 00:00:00,Desktop
76,13,2025-06-04 16:00:00,Mobile
77,13,2025-05-14 22:00:00,Mobile
78,14,2026-05-07 02:00:00,Mobile
79,14,2026-04-24 08:00:00,Desktop
80,14,2026-04-10 15:00:00,Mobile
81,14,2026-01-05 18:00:00,Desktop
82,14,2026-02-10 10:00:00,Mobile
83,14,2026-03-28 21:00:00,Mobile
84,14,2026-05-29 08:00:00,Mobile
85,14,2026-05-11 17:00:00,Mobile
86,15,2025-07-26 15:00:00,Mobile
87,15,2025-11-02 12:00:00,Mobile
88,15,2025-11-15 05:00:00,Mobile
89,15,2025-10-25 23:00:00,Mobile
90,15,2025-09-08 22:00:00,Desktop
91,16,2025-09-02 21:00:00,Mobile
92,17,2025-11-08 10:00:00,Mobile
93,17,2025-09-17 18:00:00,Mobile
94,17,2025-06-19 14:00:00,Mobile
95,17,2025-10-03 02:00:00,Mobile
96,17,2025-10-26 13:00:00,Mobile
97,17,2025-06-12 11:00:00,Mobile
98,17,2025-08-14 23:00:00,Mobile
99,18,2026-04-28 21:00:00,Desktop
100,18,2026-02-13 14:00:00,Mobile
101,18,2026-02-25 15:00:00,Mobile
102,18,2026-03-19 10:00:00,Desktop
103,18,2026-01-09 01:00:00,Mobile
104,19,2026-01-21 23:00:00,Mobile
105,19,2026-03-07 16:00:00,Tablet
106,19,2025-10-19 07:00:00,Mobile
107,20,2025-12-14 21:00:00,Mobile
108,20,2026-04-20 17:00:00,Mobile
109,20,2026-01-15 02:00:00,Mobile
110,20,2026-04-18 19:00:00,Mobile
111,20,2026-05-04 09:00:00,Mobile
112,21,2026-01-31 19:00:00,Mobile
113,21,2025-12-19 13:00:00,Desktop
114,21,2026-02-25 15:00:00,Tablet
115,21,2025-10-26 21:00:00,Desktop
116,21,2026-03-25 09:00:00,Mobile
117,22,2025-09-27 10:00:00,Mobile
118,22,2025-11-01 01:00:00,Mobile
119,22,2025-12-11 12:00:00,Mobile
120,22,2025-07-29 19:00:00,Desktop
121,22,2025-11-03 17:00:00,Mobile
122,22,2025-07-14 18:00:00,Desktop
123,23,2026-01-29 05:00:00,Mobile
124,23,2026-02-01 16:00:00,Desktop
125,23,2025-12-11 18:00:00,Tablet
126,23,2026-01-10 21:00:00,Desktop
127,23,2026-02-10 08:00:00,Mobile
128,23,2026-02-25 05:00:00,Mobile
129,24,2025-07-18 06:00:00,Mobile
130,24,2025-11-05 09:00:00,Mobile
131,24,2025-08-30 00:00:00,Desktop
132,24,2025-07-25 19:00:00,Mobile
133,24,2025-09-16 15:00:00,Desktop
134,25,2026-01-07 03:00:00,Desktop
135,25,2025-12-10 09:00:00,Mobile
136,25,2025-12-22 14:00:00,Mobile
137,25,2026-02-03 08:00:00,Desktop
138,25,2026-02-26 12:00:00,Mobile
139,25,2025-11-27 20:00:00,Desktop
140,25,2025-12-09 18:00:00,Mobile
141,25,2026-02-14 16:00:00,Mobile
142,26,2025-05-06 18:00:00,Mobile
143,26,2025-07-20 20:00:00,Mobile
144,27,2026-02-14 12:00:00,Mobile
145,27,2026-02-04 01:00:00,Mobile
146,27,2025-10-29 23:00:00,Mobile
147,27,2025-12-17 22:00:00,Mobile
148,27,2025-10-03 07:00:00,Mobile
149,27,2025-09-20 12:00:00,Mobile
150,27,2025-10-04 16:00:00,Mobile
151,27,2026-03-08 10:00:00,Mobile
152,28,2025-12-10 15:00:00,Mobile
153,28,2025-09-12 16:00:00,Desktop
154,28,2025-12-19 23:00:00,Mobile
155,28,2025-10-30 08:00:00,Desktop
156,28,2026-02-13 13:00:00,Mobile
